Metric,Value,Percentage,Condition
Mean Reciprocal Rank (MRR),0.94,0.9400,Category-Conditioned (BERT Predicted)
Hit Rate @ 1,0.939,93.90%,Category-Conditioned (BERT Predicted)
Hit Rate @ 3,0.939,93.90%,Category-Conditioned (BERT Predicted)
Hit Rate @ 5,0.939,93.90%,Category-Conditioned (BERT Predicted)
Hit Rate @ 10,0.9451,94.51%,Category-Conditioned (BERT Predicted)
Precision @ 1,0.939,93.90%,Category-Conditioned (BERT Predicted)
Precision @ 3,0.9085,90.85%,Category-Conditioned (BERT Predicted)
Precision @ 5,0.8451,84.51%,Category-Conditioned (BERT Predicted)
Precision @ 10,0.553,55.30%,Category-Conditioned (BERT Predicted)
Recall @ 1,0.2015,20.15%,Category-Conditioned (BERT Predicted)
Recall @ 3,0.5172,51.72%,Category-Conditioned (BERT Predicted)
Recall @ 5,0.7373,73.73%,Category-Conditioned (BERT Predicted)
Recall @ 10,0.9037,90.37%,Category-Conditioned (BERT Predicted)
